grove_voc1,grove_no2,grove_eth,grove_co,ens_tvoc,ens_co2,temperature,pressure,altitude,humidity,"label
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98857.32,207.51,14.81,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.89,98856.28,207.60,14.82,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.88,98856.88,207.55,14.79,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.89,98856.79,207.55,14.80,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.89,98859.03,207.36,14.82,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.88,98858.42,207.42,14.82,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.88,98856.97,207.54,14.82,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.88,98858.26,207.43,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.88,98857.75,207.47,14.83,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98856.79,207.55,14.83,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.89,98858.77,207.39,14.82,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.89,98859.72,207.30,14.82,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.88,98854.74,207.73,14.82,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98857.83,207.47,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.88,98856.03,207.62,14.83,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98856.63,207.57,14.75,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98856.71,207.56,14.83,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.88,98856.11,207.61,14.80,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.88,98854.13,207.78,14.83,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.88,98855.77,207.64,14.79,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98858.44,207.41,14.83,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98856.82,207.55,14.83,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98858.53,207.41,14.83,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98858.02,207.45,14.85,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98857.50,207.49,14.94,"ambient
"
1.56,1.14,1.39,2.10,0.00,0.00,26.88,98858.02,207.45,15.06,"ambient
"
1.56,1.14,1.39,2.10,0.00,0.00,26.88,98859.03,207.36,15.21,"ambient
"
1.56,1.14,1.39,2.11,0.00,0.00,26.88,98860.41,207.25,15.32,"ambient
"
1.57,1.14,1.40,2.12,0.00,0.00,26.88,98859.91,207.29,15.48,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.87,98858.11,207.44,15.46,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.87,98859.83,207.29,15.53,"ambient
"
1.57,1.14,1.40,2.12,0.00,0.00,26.87,98857.77,207.47,15.46,"ambient
"
